id,app,category,purpose,auth,credential_access,api_surface,mcp,buildability,evidence_tier,confidence,review_status
1,Salesforce,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",OAuth2 / connected-app token,Self-serve with org/admin,REST + SOAP + GraphQL; very broad CRM,No first-party MCP found,Yes — admin approval/scopes,official docs/homepage,0.92,reviewed
2,HubSpot,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",OAuth2 / private app token,Self-serve,REST; broad CRM/content/automation,Official remote MCP available,Yes — scopes and account tier vary,official docs/homepage,0.92,reviewed
3,Pipedrive,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
4,Attio,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
5,Twenty,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
6,Podio,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
7,Zoho CRM,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
8,Close,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
9,Copper,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
10,DealCloud,CRM & sales,"Manage customer, pipeline, and sales-workflow data.",API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
11,Zendesk,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
12,Intercom,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
13,Freshdesk,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
14,Front,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
15,Pylon,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Paid / admin or sales gate,Documented public REST API; breadth to verify,No first-party MCP found,"Conditional — plan, account, or commercial access",official docs/homepage,0.7,queue
16,LiveAgent,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Self-serve,Documented public REST API; breadth to verify,No first-party MCP found,Yes — documented API; confirm scopes and rate limits,official docs/homepage,0.76,auto
17,Plain,Support & helpdesk,Handle customer support conversations and tickets.,API key or OAuth2 (verify exact scheme),Needs verification,Documented public REST API; breadth to verify,No first-party MCP found,Needs verification — docs/auth evidence incomplete,official docs/homepage,0.62,queue
